timestamp,quantity_produced,avg_processing_time,avg_waiting_time,defect_volume,avg_defect_rate
2023-05-25 04:26:15.800000,159,2035,3345,1,0.027027028
2023-05-25 04:26:20.800000,160,2033,3342,1,0.027027028
2023-05-25 04:26:24.600000,161,2032,3331,1,0.027027028
2023-05-25 04:26:28.400000,162,2030,3320,1,0.027027028
2023-05-25 04:26:32,163,2029,3308,1,0.027027028
2023-05-25 04:26:36.800000,164,2028,3304,1,0.027027028
2023-05-25 04:26:42.400000,165,2026,3304,1,0.027027028
2023-05-25 04:26:46.400000,166,2025,3295,1,0.027027028
2023-05-25 04:26:52,167,2025,3295,1,0.027027028
2023-05-25 04:26:55.800000,168,2023,3285,1,0.027027028
2023-05-25 04:27:00,169,2022,3277,1,0.027027028
2023-05-25 04:27:09.600000,170,2045,3276,1,0.027027028
2023-05-25 04:27:15.200000,171,2044,3277,1,0.027027028
2023-05-25 04:27:23,172,2065,3269,1,0.027027028
2023-05-25 04:27:27,173,2063,3260,1,0.027027028
2023-05-25 04:27:32.400000,174,2063,3258,1,0.027027028
2023-05-25 04:27:37.800000,175,2061,3258,1,0.027027028
2023-05-25 04:27:42.600000,176,2063,3251,1,0.027027028
2023-05-25 04:27:46.600000,177,2065,3239,1,0.027027028
2023-05-25 04:27:51.600000,178,2064,3237,1,0.027027028
2023-05-25 04:28:00,179,2088,3228,1,0.027027028
2023-05-25 04:28:04.200000,180,2086,3221,1,0.027027028
2023-05-25 04:28:09.800000,181,2086,3221,1,0.027027028
2023-05-25 04:28:14.400000,182,2086,3214,1,0.027027028
2023-05-25 04:28:24.400000,183,2119,3205,1,0.027027028
2023-05-25 04:28:28.800000,184,2119,3197,1,0.027027028
2023-05-25 04:28:35.400000,185,2117,3204,1,0.027027028
2023-05-25 04:28:39.400000,186,2117,3195,1,0.027027028
2023-05-25 04:28:43.200000,187,2115,3187,1,0.027027028
2023-05-25 04:28:50.800000,188,2113,3198,1,0.027027028
2023-05-25 04:28:54.600000,189,2112,3190,1,0.027027028
2023-05-25 04:29:03.400000,190,2136,3182,1,0.027027028
2023-05-25 04:29:09.800000,191,2135,3187,1,0.027027028
2023-05-25 04:29:22.200000,192,2133,3224,1,0.027027028
2023-05-25 04:29:28.200000,193,2131,3227,1,0.027027028
2023-05-25 04:29:32,194,2129,3218,1,0.027027028
2023-05-25 04:29:40,195,2148,3211,1,0.027027028
2023-05-25 04:29:46.400000,196,2147,3215,1,0.027027028
2023-05-25 04:29:53.600000,197,2164,3206,1,0.027027028
2023-05-25 04:29:57.600000,198,2162,3198,1,0.027027028
2023-05-25 04:30:01.400000,199,2161,3189,1,0.027027028
2023-05-25 04:30:07.200000,200,2160,3191,1,0.027027028
2023-05-25 04:30:11,201,2158,3184,1,0.027027028
2023-05-25 04:30:18.600000,202,2156,3195,1,0.027027028
2023-05-25 04:30:22.200000,203,2154,3186,1,0.027027028
2023-05-25 04:30:26.200000,204,2152,3179,2,0.009803922
2023-05-25 04:30:32,205,2151,3181,2,0.009803922
2023-05-25 04:30:36,206,2149,3174,2,0.009803922
2023-05-25 04:30:40,207,2148,3166,2,0.009803922
2023-05-25 04:30:43.600000,208,2147,3158,2,0.009803922
2023-05-25 04:30:48.400000,209,2145,3155,2,0.009803922
2023-05-25 04:30:55.400000,210,2143,3163,2,0.009803922
2023-05-25 04:30:59.200000,211,2142,3156,2,0.009803922
2023-05-25 04:31:02.800000,212,2140,3147,2,0.009803922
2023-05-25 04:31:08.600000,213,2138,3150,2,0.009803922
2023-05-25 04:31:13.200000,214,2137,3146,2,0.009803922
2023-05-25 04:31:19,215,2135,3148,2,0.009803922
2023-05-25 04:31:22.600000,216,2134,3140,2,0.009803922
2023-05-25 04:31:27,217,2132,3136,2,0.009803922
2023-05-25 04:31:31.200000,218,2131,3130,2,0.009803922
2023-05-25 04:31:34.800000,219,2129,3122,2,0.009803922
2023-05-25 04:31:38.600000,220,2128,3115,2,0.009803922
2023-05-25 04:31:42.800000,221,2126,3110,2,0.009803922
2023-05-25 04:31:46.400000,222,2125,3103,2,0.009803922
2023-05-25 04:31:50,223,2123,3095,2,0.009803922
2023-05-25 04:31:53.800000,224,2123,3087,2,0.009803922
2023-05-25 04:31:58.200000,225,2121,3083,2,0.009803922
2023-05-25 04:32:02.200000,226,2120,3078,2,0.009803922
2023-05-25 04:32:08,227,2118,3080,2,0.009803922
2023-05-25 04:32:12.400000,228,2117,3076,2,0.009803922
2023-05-25 04:32:16.800000,229,2116,3072,2,0.009803922
2023-05-25 04:32:22.400000,230,2114,3074,2,0.009803922
2023-05-25 04:32:26.800000,231,2113,3070,2,0.009803922
2023-05-25 04:32:33.800000,232,2112,3077,2,0.009803922
2023-05-25 04:32:37.800000,233,2110,3072,2,0.009803922
2023-05-25 04:32:41.800000,234,2109,3066,2,0.009803922
2023-05-25 04:32:45.600000,235,2108,3060,2,0.009803922
2023-05-25 04:32:54.400000,236,2106,3075,2,0.009803922
2023-05-25 04:32:58.600000,237,2105,3071,2,0.009803922
2023-05-25 04:33:03,238,2105,3066,2,0.009803922
2023-05-25 04:33:06.800000,239,2103,3060,2,0.009803922
2023-05-25 04:33:12.200000,240,2102,3061,2,0.009803922
2023-05-25 04:33:18.200000,241,2101,3064,2,0.009803922
2023-05-25 04:33:22,242,2100,3058,2,0.009803922
2023-05-25 04:33:25.600000,243,2098,3051,2,0.009803922
